Geographic Unit,Geographic ID,Geographic Name,State Median Income Bracket,Age Group,Childcare Subsidized ,Private Care Estimate,Estimated Children Receiving Childcare,Estimate of Unserved,Percent Need Met
County,53001,Adams County,<=60% of SMI,Infant,18,14,32,245,11.6
County,53001,Adams County,>60% and <=75% of SMI,Infant,0,0,0,14,0.0
County,53001,Adams County,>75% and <=85% of SMI,Infant,0,0,0,8,0.0
County,53001,Adams County,>85% of SMI,Infant,0,4,4,38,9.5
County,53001,Adams County,<=60% of SMI,Preschool,220,23,243,469,34.1
County,53001,Adams County,>60% and <=75% of SMI,Preschool,0,2,2,60,3.2
County,53001,Adams County,>75% and <=85% of SMI,Preschool,0,0,0,20,0.0
County,53001,Adams County,>85% of SMI,Preschool,,11,,100,
County,53001,Adams County,<=60% of SMI,School Age,154,58,212,2178,8.9
County,53001,Adams County,>60% and <=75% of SMI,School Age,0,5,5,219,2.2
County,53001,Adams County,>75% and <=85% of SMI,School Age,0,2,2,86,2.3
County,53001,Adams County,>85% of SMI,School Age,0,30,30,325,8.5
County,53001,Adams County,<=60% of SMI,Toddler,91,12,103,445,18.8
County,53001,Adams County,>60% and <=75% of SMI,Toddler,,0,,32,
County,53001,Adams County,>75% and <=85% of SMI,Toddler,0,1,1,13,7.1
County,53001,Adams County,>85% of SMI,Toddler,,11,,79,
County,53003,Asotin County,<=60% of SMI,Infant,26,5,31,108,22.3
County,53003,Asotin County,>60% and <=75% of SMI,Infant,0,3,3,21,12.5
County,53003,Asotin County,>75% and <=85% of SMI,Infant,0,1,1,22,4.3
County,53003,Asotin County,>85% of SMI,Infant,0,16,16,30,34.8
County,53003,Asotin County,<=60% of SMI,Preschool,113,19,132,225,37.0
County,53003,Asotin County,>60% and <=75% of SMI,Preschool,0,12,12,63,16.0
County,53003,Asotin County,>75% and <=85% of SMI,Preschool,0,6,6,38,13.6
County,53003,Asotin County,>85% of SMI,Preschool,0,63,63,67,48.5
